adresse,pris,ejerudgift,meter
"[ Kongens Nytorv 21, 3. tv.",15995000,19794,280
" Nyhavn 38, st. Dør/lejl. 4",7875000,5702,83
" Nyhavn 23, 4.",8495000,4138,166
" Nyhavn 53D, 3.",11995000,6078,166
" Nyhavn 53, 1.",15000000,9486,232
" Tordenskjoldsgade 27, 5. th.",10995000,6454,185
" Havnegade 35, 4. th.",8995000,5488,122
" Havnegade 33, 5. tv",10495000,6086,122
" Havnegade 35, 1. tv.",14995000,13312,265
" Boldhusgade 4, st..",3495000,4551,92
" Laksegade 20D, 3. th",3195000,3242,52
" Admiralgade 19A, 1.",4750000,2617,67
" Nikolajgade 20, 2. th",4100000,4257,84
" Grønnegade 41C, st.. th.",6275000,3443,93
" Grønnegade 33, 1.",7995000,5993,180
" Store Regnegade 19A, 1. th.",4495000,4772,116
" Pilestræde 55, 4. tv",4200000,3438,78
" Pilestræde 35D, 2.",5095000,3714,103
" Pilestræde 35F, 3.",10995000,7064,187
" Gothersgade 33A, 2. th.",2998000,2430,52
 Gothersgade 33A  3. TV.,3195000,2958,62
 Gothersgade 17  2.,4995000,4268,97
" Gothersgade 39, 4.",6795000,5670,136
" Åbenrå 16, 3. tv",10995000,5362,154
" Hauser Plads 28, 5. tv",3495000,3022,60
" Hauser Plads 28, 1. th",4595000,4084,80
" Sankt Gertruds Stræde 8, st. tv",3495000,2798,51
" Købmagergade 15, 3.",5895000,4648,99
" Købmagergade 13A, 2. th.",7495000,5428,136
" Købmagergade 30, 4.",9495000,6106,175
" Valkendorfsgade 34, 2. tv.",4995000,4596,100
" Niels Hemmingsens Gade 32A, 3. th.",6150000,4534,107
" Niels Hemmingsens Gade 32A, 2. tv.",10895000,11982,234
" Skindergade 29, 1.",7495000,6310,165
" Nørregade 24F, st..",4995000,6431,139
" Nørregade 24A, 1.",8995000,9359,236
" Nørregade 24A, 4.",10995000,8892,205
" Fiolstræde 32, 2. tv",3295000,2660,53
" Fiolstræde 21, 3.",5995000,5197,130
" Fiolstræde 38, 4.",7498000,6087,173
" Rosengården 6, st.",4495000,3503,99
 Magstræde 11,4250000,1676,56
" Hyskenstræde 9, 2.",4495000,3239,89
" Kompagnistræde 7A, 4. tv.",2295000,2002,37
" Kompagnistræde 17, 2.",4295000,6292,105
" Kompagnistræde 4B, 1. tv",6500000,3551,105
" Kompagnistræde 4B, 1. th",7000000,3509,107
" Badstuestræde 10A, 4.",5195000,2812,103
" Knabrostræde 21, 3.",5300000,7286,102
" Knabrostræde 28, 2. ]",5395000,4750,125
"[ Brolæggerstræde 1, mezz.",3495000,3006,66
" Brolæggerstræde 1, 4.",3648000,3114,68
" Toldbodgade 36B, 2. TV., København K",7598000,5499,130
" Toldbodgade 10B, st..",7995000,8438,163
" Toldbodgade 38C, 1. tv",11250000,6323,132
" Toldbodgade 10A, 4.",11995000,7605,201
" Toldbodgade 36A, 3. tv.",13000000,10821,209
" Toldbodgade 38B, 2. tv.",14700000,8964,174
" Lille Strandstræde 22, 1.",14750000,10277,221
" Store Strandstræde 18D, 2. th.",8495000,3686,121
" Amaliegade 11B, st.",7395000,4354,108
" Amaliegade 11, 1.",16500000,9068,216
" Store Kongensgade 63A, st.  nr. 4",4895000,4103,98
" Store Kongensgade 23B, st. th.",5295000,4099,101
" Store Kongensgade 53C, st.",5490000,2727,97
" Store Kongensgade 110H, 1. th.",6995000,5295,155
" Store Kongensgade 23A, 2.",7245000,3467,124
" Store Kongensgade 63A, 1.  nr. 5",7350000,5965,145
" Store Kongensgade 23, 1.",7995000,6164,199
" Store Kongensgade 93, 1.",9499000,9812,221
" Store Kongensgade 71A, st.",12800000,8922,198
" Store Kongensgade 116, 5. tv",28000000,14194,241
" Frederiksgade 6, 3. tv.",8900000,6102,163
" Borgergade 26, 3.  nr. 4",3250000,3361,72
" Borgergade 26, 5.  nr. 1",3475000,3543,75
" Borgergade 26, 3. 4",3395000,3503,72
" Dronningens Tværgade 48, 4.  nr. 3",2595000,1820,46
" Dronningens Tværgade 46, 2. 1.",3450000,2832,72
 Dronningens Tværgade 59  4.,7995000,5357,157
" Dronningens Tværgade 34, 7. th.",9495000,5465,168
" Dronningens Tværgade 58, 4.",10500000,5520,158
" Dronningens Tværgade 16, 5.",13000000,5605,173
" Adelgade 49, 5. th",4545000,3756,81
" Sølvgade 15, 4. mf.",2995000,2420,52
" Sølvgade 23, 1. tv.",4600000,5041,94
" Sølvgade 87, 5. tv.",7250000,4429,133
" Fredericiagade 12, 1.",8295000,4453,135
" Olfert Fischers Gade 13, 1.",3645000,3560,77
" Sankt Pauls Gade 4, st.. th.",2195000,2070,41
" Sankt Pauls Gade 4, 4. th.",2295000,2030,40
" Sankt Pauls Gade 8, 1.",3795000,4695,74
" Rigensgade 9F, 2. tv.",8500000,5025,148
" Stokhusgade 4, st. tv.",3995000,3887,86
" Stokhusgade 6, 1. tv.",6995000,4344,106
" Gernersgade 5, st.. tv.",2250000,2240,37
" Rørholmsgade 20, st. th",4295000,3834,86
" Ole Suhrs Gade 17, 5. th",6995000,3964,130
" Gammeltoftsgade 12A, 3. th.",3995000,3353,82
 Gammeltoftsgade 12A  ST. TH.,4195000,3318,82
" Bartholinsgade 11, st. tv ]",2995000,3170,52
"[ Ved Volden 1, 5. th",4570000,5672,93
" Ved Volden 12, 1. tv",4995000,5595,115
" Ved Volden 1, 1. th., Christianshavn",5500000,6276,109
" Ved Volden 11, 1. tv., Christianshavn",5945000,6668,115
" Brobergsgade 9, st.. tv.",3350000,4567,70
" Andreas Bjørns Gade 2, st.. tv., Christianshavn",3598000,4605,73
" William Wains Gade 19, HUSBÅD",2595000,11329,86
" Margretheholmsvej 62, 7. th.",3795000,2368,74
" Margretheholmsvej 62, 1. tv., Margretheholmen",3995000,2795,88
" Margretheholmsvej 56, 3. tv., Margretheholmen",4175000,3068,97
" Margretheholmsvej 60, 3. tv",4250000,2988,93
" Margretheholmsvej 68, 2. th., Margretheholmen",4398000,2954,93
" Margretheholmsvej 70, 2. tv",4495000,2944,92
" Margretheholmsvej 58, 1. tv",4645000,2944,92
" Margretheholmsvej 68, 4. tv., Margretheholmen",4750000,2954,93
" Margretheholmsvej 72, 3. tv.",4750000,2987,93
" Margretheholmsvej 72, 6. th., Margretheholmen",4895000,2954,93
" Margretheholmsvej 64, 6. th.",5899000,3505,114
" Trangravsvej 1, HUSBÅD",2250000,3967,55
" Galionsvej 5, 2. 26., Holmen",7200000,3896,99
" Galionsvej 23, 2. tv., Holmen",7200000,5131,108
" Galionsvej 1L, st.., Holmen",9900000,4012,102
" Krudtløbsvej 3, HUSBÅD",1250000,6216,45
" Sankt Peders Stræde 32, st. tv.",2850000,2102,52
" Sankt Peders Stræde 21, 2.  nr. 2",13500000,6783,172
" Larsbjørnsstræde 13, 2.",3495000,5122,77
" Studiestræde 15, 2.",5495000,4281,110
" Frederiksberggade 5, 3.",5695000,5819,118
" Mikkel Bryggers Gade 3B, 1. th.",5695000,3931,130
" Lavendelstræde 11, 1.",4250000,4478,74
" Lavendelstræde 9, 3. Dør/lejl. 1",7195000,8288,138
 Løngangstræde 21G,6399000,4775,129
" H.C. Andersens Boulevard 40, 5. tv",4995000,4499,108
" H.C. Andersens Boulevard 42, 3. tv",8795000,8073,234
" H.C. Andersens Boulevard 51, 5. th.",24000000,10635,339
" Havneholmen 34, 4. th.",3795000,2952,71
" Havneholmen 40, ST. TH.",4495000,4031,85
" Havneholmen 78, 4. tv., Vesterbro",4595000,3384,77
